,aluminum_production_1,camo,desertinfantry_at,etax_doctrine,jaegers,jngdst_clothes_gw,r56_guerilla_warfare,r56_gw_railway_gun,r56_militia_tech,r56_railway_mortar_subtech,shocktroops,sniper_rifle,steel_production_1,transport_plane1,winter_clothes_gw,jungletroops
AFG,,,,1.0,,,,,1.0,,,1.0,,,,
ALB,,1.0,,1.0,,,,,,,,,,1.0,,
ALG,,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,
ANG,,1.0,,1.0,,,,,,,,,,,,
ARG,,1.0,,1.0,,,,,,,,,,1.0,,
ARM,,1.0,,1.0,,,,,,,,,,1.0,,
AST,,1.0,,1.0,,,,,,,,,1.0,1.0,,
AUS,1.0,1.0,,1.0,1.0,,,,,,,,1.0,1.0,1.0,
AZR,,1.0,,1.0,,,,,,,,,,1.0,,
BAH,,1.0,,1.0,,,,,,,,,,,,
BAS,,1.0,,1.0,,,,,,,,,,1.0,,
BAY,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,
BEL,,1.0,,1.0,1.0,,,,,,,,1.0,1.0,1.0,
BHU,,1.0,,1.0,,,,,,,,,,,,
BOL,,1.0,,1.0,,,,,,,,,,1.0,,
BOS,,1.0,,1.0,,,,,,,,,,1.0,,
BOT,,1.0,,1.0,,,,,,,,,,,,
BRA,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0
BRD,,1.0,,1.0,,,,,1.0,,,,,,,
BRI,,1.0,,1.0,,,,,,,,,,1.0,,
BRM,,1.0,,1.0,,,,,1.0,,,,,,,
BUK,,1.0,,1.0,,,,,,,,,,,,
BUL,,1.0,,1.0,,,,,,,,,,1.0,,
CAM,,1.0,,1.0,,,,,,,,,,,,
CAN,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,
CAR,,1.0,,1.0,,,,,1.0,,,,,,,
CAT,,1.0,,1.0,,,,,,,,,,1.0,,
CHA,,1.0,,1.0,,,,,1.0,,,,,,,
CHI,,1.0,,1.0,,,,,1.0,,,,,1.0,,
CHL,,1.0,,1.0,,,,,,,,,1.0,1.0,,
CMR,,1.0,,1.0,,,,,1.0,,,,,,,
COG,,1.0,,1.0,,,,,1.0,,,,,1.0,,
COL,,1.0,,1.0,,,,,,,,,,1.0,,
COS,,1.0,,1.0,,,,,,,,,,1.0,,
CRO,,1.0,,1.0,,,,,,,,,,1.0,,
CSA,,1.0,,1.0,,,,,,,,,,1.0,,
CUB,,1.0,,1.0,,,,,,,,,,1.0,,
CYP,,1.0,,1.0,,,,,,,,,,1.0,,
CZE,,1.0,,1.0,,,,,,,,,1.0,1.0,,
DAH,,1.0,,1.0,,,,,,,,,,,,
DDR,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,
DEN,,1.0,,1.0,,,,,,,,,1.0,1.0,,
DOM,,1.0,,1.0,,,,,,,,,,1.0,,
ECU,,1.0,,1.0,,,,,,,,,,1.0,,
EGY,,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,
ELS,,1.0,,1.0,,,,,,,,,,1.0,,
ENG,1.0,1.0,,1.0,,,,1.0,,,,,1.0,1.0,,
ERI,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,
EST,,1.0,,1.0,,,,,,,,,,1.0,,
ETH,,1.0,,1.0,,,,,,,,,,1.0,,
FIN,,1.0,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,
FLA,,1.0,,1.0,,,,,,,,,1.0,1.0,,
FRA,1.0,1.0,,1.0,,,,1.0,,1.0,,,1.0,1.0,,
GAB,,1.0,,1.0,,,,,,,,,,,,
GBR,,1.0,,1.0,,,,,,,,,,1.0,,
GEO,,1.0,,1.0,,,,,,,,,,1.0,,
GER,,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,
GHA,,1.0,,1.0,,,,,1.0,,,,,,,
GLC,,1.0,,1.0,,,,,,,,,,1.0,,
GNA,,1.0,,1.0,,,,,1.0,,,,,,,
